,Offense,Defense,Overall,Standardized,Quantile,OFF RANK,DEF RANK,OVR RANK
BAL,10.740579044117649,-4.142003676470589,14.882582720588236,2.3323572093474714,0.9901590463895811,1,5,1
SF,5.924402573529411,-4.106387867647059,10.030790441176471,1.5750363657165174,0.9423759746265669,3,6,2
NE,2.527465397923875,-7.110077854671282,9.637543252595156,1.5136540402868701,0.934943196347332,8,1,3
KC,6.607077205882353,-2.9078584558823533,9.514935661764707,1.4945161055246399,0.9324796122128107,2,8,4
NO,4.123269896193771,-2.382136678200692,6.505406574394463,1.024755865159309,0.8472608020074832,5,11,5
MIN,3.0177335640138407,-3.0694204152249136,6.087153979238755,0.9594704221781102,0.8313390933959255,7,7,6
DAL,4.215992647058823,-1.4221047794117645,5.638097426470588,0.8893767603320535,0.813099684791931,4,14,7
TEN,1.8618079584775085,-2.261678200692042,4.12348615916955,0.6529596557513854,0.7431088559354291,9,12,8
GB,0.8894761029411766,-2.682674632352941,3.5721507352941178,0.5669011882228465,0.7146093415766783,13,9,9
LAR,1.5259650735294115,-1.6884191176470589,3.21438419117647,0.5110570701298607,0.6953444523222012,12,13,10
SEA,1.7794117647058822,-1.0514705882352942,2.8308823529411766,0.4511959056486833,0.6740758198460793,10,15,11
BUF,-2.9833477508650526,-4.707396193771625,1.724048442906574,0.2784291542641042,0.6096585289561562,24,2,12
HOU,1.7439446366782008,0.4364186851211072,1.3075259515570934,0.21341376482160732,0.5844978774852913,11,19,13
PHI,0.18144463667820035,-0.1760380622837372,0.3574826989619377,0.06512061538189345,0.5259610167158372,14,16,14
TB,4.084788602941176,4.002987132352942,0.08180147058823506,0.02208927182435295,0.5088116278832139,6,27,15
CHI,-4.858226102941177,-4.350183823529412,-0.5080422794117647,-0.06997999673357545,0.4721047904463411,30,3,16
PIT,-4.781939338235294,-4.243106617647059,-0.5388327205882355,-0.07478610580516193,0.47019244840934465,29,4,17
ATL,-0.5765165441176474,0.22449448529411775,-0.8010110294117645,-0.11570976588486437,0.453941283094341,17,18,18
LAC,-1.26171875,0.008731617647058654,-1.2704503676470587,-0.18898499598375326,0.42505228818060714,21,17,19
DEN,-4.277803308823529,-2.4538143382352944,-1.823988970588235,-0.27538735981548274,0.3915093271030728,26,10,20
ARI,0.061121323529411464,2.069393382352941,-2.00827205882353,-0.30415228127378385,0.38050593881510003,15,24,21
IND,-1.196920955882353,0.9317555147058822,-2.1286764705882355,-0.32294631973282334,0.3733679480533958,20,20,22
CLE,-0.4607077205882354,1.853860294117647,-2.3145680147058822,-0.35196230659038624,0.362433265493767,16,23,23
DET,-0.6847426470588236,3.965762867647059,-4.650505514705882,-0.7165809992899969,0.2368163359797879,18,26,24
NYJ,-5.221507352941176,0.9572610294117647,-6.178768382352941,-0.9551289950744855,0.16975623382976412,31,21,25
JAX,-4.665670955882353,1.7872242647058822,-6.4528952205882355,-0.9979177124058483,0.15915963115194043,28,22,26
OAK,-1.98828125,4.590762867647059,-6.579044117647058,-1.017608413005109,0.1544320438100933,23,29,27
NYG,-1.1964613970588236,6.0032169117647065,-7.199678308823529,-1.1144837906346239,0.13253584726351725,19,31,28
CIN,-4.4186580882352935,3.362362132352941,-7.7810202205882355,-1.205225999225025,0.11405803406221421,27,25,29
CAR,-3.5597426470588243,5.92095588235294,-9.480698529411764,-1.4705303932737186,0.0707090801589002,25,30,30
WAS,-5.926930147058823,4.534466911764706,-10.461397058823529,-1.6236085538523077,0.05222968935175206,32,28,31
MIA,-1.928538602941177,9.312729779411766,-11.241268382352942,-1.7453394060087586,0.04046290320628954,22,32,32
